# ResFinder phenotype results for escherichia coli.
# Sample: contigs.fsa
# 
# The phenotype 'No resistance' should be interpreted with
# caution, as it only means that nothing in the used
# database indicate resistance, but resistance could exist
# from 'unknown' or not yet implemented sources.
# 
# The 'Match' column stores one of the integers 0, 1, 2, 3.
#      0: No match found
#      1: Match < 100% ID AND match length < ref length
#      2: Match < 100% ID AND match length = ref length
#      3: Match = 100% ID AND match length = ref length
# If several hits causing the same resistance are found,
# the highest number will be stored in the 'Match' column.

# Antimicrobial	Class	WGS-predicted phenotype	Match	Genetic background
ertapenem	beta-lactam	No resistance	0	
ampicillin	beta-lactam	Resistant	3	blaCTX-M-15 (blaCTX-M-15_AY044436), blaTEM-1B (blaTEM-1B_AY458016)
cefepime	beta-lactam	Resistant	3	blaCTX-M-15 (blaCTX-M-15_AY044436)
imipenem	beta-lactam	No resistance	0	
ciprofloxacin	quinolone	No resistance	0	
piperacillin+tazobactam	beta-lactam	No resistance	0	
tetracycline	tetracycline	Resistant	3	tet(A) (tet(A)_AJ517790)
tigecycline	tetracycline	No resistance	0	
ampicillin+clavulanic acid	beta-lactam	No resistance	0	
tobramycin	aminoglycoside	No resistance	0	
chloramphenicol	amphenicol	No resistance	0	
cefoxitin	beta-lactam	No resistance	0	
azithromycin	macrolide	No resistance	0	
meropenem	beta-lactam	No resistance	0	
nalidixic acid	quinolone	No resistance	0	
colistin	polymyxin	No resistance	0	
cefotaxime	beta-lactam	Resistant	3	blaCTX-M-15 (blaCTX-M-15_AY044436)
fosfomycin	fosfomycin	No resistance	0	
amikacin	aminoglycoside	No resistance	0	
gentamicin	aminoglycoside	No resistance	0	
sulfamethoxazole	folate pathway antagonist	Resistant	3	sul1 (sul1_AY115475), sul1 (sul1_AY522923), sul1 (sul1_U12338), sul1 (sul1_DQ914960), sul2 (sul2_HQ840942)
ceftazidime	beta-lactam	Resistant	3	blaCTX-M-15 (blaCTX-M-15_AY044436)
temocillin	beta-lactam	No resistance	0	
trimethoprim	folate pathway antagonist	Resistant	3	dfrA7 (dfrA7_AB161450)
