locus_tag	ftype	length_bp	gene	EC_number	COG	product
IHINPGCH_00001	CDS	510				hypothetical protein
IHINPGCH_00002	CDS	1419	phrB	4.1.99.3	COG0415	Deoxyribodipyrimidine photo-lyase
IHINPGCH_00003	CDS	1482	dtpD		COG3104	Dipeptide permease D
IHINPGCH_00004	CDS	744	ybgI		COG0327	GTP cyclohydrolase 1 type 2 
IHINPGCH_00005	CDS	657	ybgJ		COG2049	putative protein YbgJ
IHINPGCH_00006	CDS	933	ybgK		COG1984	putative protein YbgK
IHINPGCH_00007	CDS	735				hypothetical protein
IHINPGCH_00008	CDS	792	nei	3.2.2.-	COG0266	Endonuclease 8
IHINPGCH_00009	CDS	1047				hypothetical protein
IHINPGCH_00010	CDS	651				hypothetical protein
IHINPGCH_00011	CDS	378				hypothetical protein
IHINPGCH_00012	CDS	276				hypothetical protein
IHINPGCH_00013	CDS	249	papC_1		COG3188	Outer membrane usher protein PapC
IHINPGCH_00014	CDS	567	ybgD_1			putative fimbrial-like protein YbgD
IHINPGCH_00015	CDS	1284	gltA	2.3.3.16	COG0372	Citrate synthase
IHINPGCH_00016	CDS	108				hypothetical protein
IHINPGCH_00017	CDS	405	sdhC		COG2009	Succinate dehydrogenase cytochrome b556 subunit
IHINPGCH_00018	CDS	348	sdhD		COG2142	Succinate dehydrogenase hydrophobic membrane anchor subunit
IHINPGCH_00019	CDS	1767	sdhA	1.3.5.1	COG1053	Succinate dehydrogenase flavoprotein subunit
IHINPGCH_00020	CDS	717	sdhB	1.3.5.1	COG0479	Succinate dehydrogenase iron-sulfur subunit
IHINPGCH_00021	CDS	2802	sucA	1.2.4.2	COG0567	2-oxoglutarate dehydrogenase E1 component
IHINPGCH_00022	CDS	1218	sucB	2.3.1.61	COG0508	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
IHINPGCH_00023	CDS	1167	sucC	6.2.1.5	COG0045	Succinate--CoA ligase [ADP-forming] subunit beta
IHINPGCH_00024	CDS	870	sucD	6.2.1.5	COG0074	Succinate--CoA ligase [ADP-forming] subunit alpha
IHINPGCH_00025	CDS	723	mngR_1		COG2188	Mannosyl-D-glycerate transport/metabolism system repressor MngR
IHINPGCH_00026	CDS	1917	mngA		COG1299	PTS system 2-O-alpha-mannosyl-D-glycerate-specific EIIABC component
IHINPGCH_00027	CDS	2634	mngB	3.2.1.170	COG0383	Mannosylglycerate hydrolase
IHINPGCH_00028	CDS	1569	cydA	1.10.3.14	COG1271	Cytochrome bd-I ubiquinol oxidase subunit 1
IHINPGCH_00029	CDS	1140	cydB	1.10.3.14	COG1294	Cytochrome bd-I ubiquinol oxidase subunit 2
IHINPGCH_00030	CDS	114	cydX	1.10.3.14	COG4890	Cytochrome bd-I ubiquinol oxidase subunit X
IHINPGCH_00031	CDS	294				hypothetical protein
IHINPGCH_00032	CDS	405	ybgC	3.1.2.-	COG0824	Acyl-CoA thioester hydrolase YbgC
IHINPGCH_00033	CDS	693	tolQ		COG0811	Protein TolQ
IHINPGCH_00034	CDS	429	tolR		COG0848	Protein TolR
IHINPGCH_00035	CDS	1266	tolA		COG3064	Protein TolA
IHINPGCH_00036	CDS	1293	tolB		COG0823	Protein TolB
IHINPGCH_00037	CDS	522	pal		COG2885	Peptidoglycan-associated lipoprotein
IHINPGCH_00038	CDS	792	cpoB		COG1729	Cell division coordinator CpoB
IHINPGCH_00039	tRNA	76				tRNA-Lys(ttt)
IHINPGCH_00040	tRNA	76				tRNA-Lys(ttt)
IHINPGCH_00041	tRNA	76				tRNA-Lys(ttt)
IHINPGCH_00042	CDS	1044	nadA	2.5.1.72	COG0379	Quinolinate synthase A
IHINPGCH_00043	CDS	720	pnuC		COG3201	Nicotinamide riboside transporter PnuC
IHINPGCH_00044	CDS	942	zitB		COG1230	Zinc transporter ZitB
IHINPGCH_00045	CDS	381				hypothetical protein
